video_id,reason
GWDBFKcBNKk,video_unavailable
1hM8zGJJCBo,list_error: '_TranslationLanguage' object is not subscriptable
oM9pSipqbfc,video_unavailable
32IhfO2tymI,list_error: '_TranslationLanguage' object is not subscriptable
hup1Lr7PPfw,list_error: '_TranslationLanguage' object is not subscriptable
52XI8gfdRwY,list_error: '_TranslationLanguage' object is not subscriptable
SjvMhPbgVlo,list_error: '_TranslationLanguage' object is not subscriptable
YBFmu2iZjJ8,list_error: '_TranslationLanguage' object is not subscriptable
FIDBYmpV-Cg,video_unavailable
I8AWaLYKvZ4,list_error: '_TranslationLanguage' object is not subscriptable
zK5RR2ntlig,list_error: '_TranslationLanguage' object is not subscriptable
yCNrUPna-6U,video_unavailable
Xm1fCxvbb0M,video_unavailable
paYXQGqtCms,list_error: '_TranslationLanguage' object is not subscriptable
O3MI0JPEyCE,video_unavailable
xd6di5__u4c,list_error: '_TranslationLanguage' object is not subscriptable
SV8jUWG9YnQ,video_unavailable
AzNj2pydDtU,video_unavailable
JbXQKQwBrOQ,list_error: '_TranslationLanguage' object is not subscriptable
qUsBEUyY09E,video_unavailable
1dGhoAUFxtY,video_unavailable
7OokgTcLcHE,video_unavailable
K2WjdUJ0YgU,list_error: '_TranslationLanguage' object is not subscriptable
NRhybjzRCyk,video_unavailable
Htt7SD0GVtA,video_unavailable
nqPtrTBrPlA,list_error: '_TranslationLanguage' object is not subscriptable
lwXj4TYOtQw,list_error: '_TranslationLanguage' object is not subscriptable
m9W129LJQis,video_unavailable
ggPtLCSK16g,video_unavailable
s9v6_vQafoI,list_error: '_TranslationLanguage' object is not subscriptable
E3OybzTzIU8,video_unavailable
DqUfQCWHn-U,video_unavailable
86pcLgASoB4,list_error: '_TranslationLanguage' object is not subscriptable
sm1S0MPtGG8,video_unavailable
zLOIIjpJaBg,video_unavailable
X5KkJKjcv5k,video_unavailable
rGR6aLcpbT8,video_unavailable
jP4R6nMcZJA,video_unavailable
8SesZvIwqgA,video_unavailable
W9O3ZxM7Txc,list_error: '_TranslationLanguage' object is not subscriptable
nzbbBWuhMEQ,video_unavailable
pxzobKT2suc,video_unavailable
dZCkb2ll1lQ,video_unavailable
Ye1tCZ-9xhI,video_unavailable
tOGDrNPBNgY,list_error: '_TranslationLanguage' object is not subscriptable
uAP1mgGEjBM,list_error: '_TranslationLanguage' object is not subscriptable
PDu2V22rmcM,video_unavailable
cJg-cPcFUxI,list_error: '_TranslationLanguage' object is not subscriptable
Bgq5LKGIbac,list_error: '_TranslationLanguage' object is not subscriptable
K5Drqclmfm0,video_unavailable
irDvKForpME,video_unavailable
GBN2l7f3T8Q,list_error: '_TranslationLanguage' object is not subscriptable
